LTV,FICO,LLPA
59,780,0
59,760,0
59,740,0
59,720,0
59,700,0
59,680,0
59,660,0
59,640,0
59,639,0
60,780,0
60,760,0
60,740,0
60,720,0
60,700,0
60,680,0
60,660,0
60,640,0
60,639,0.125
70,780,0
70,760,0
70,740,0.125
70,720,0.25
70,700,0.375
70,680,0.625
70,660,0.75
70,640,1.125
70,639,1.5
75,780,0
75,760,0.25
75,740,0.375
75,720,0.75
75,700,0.875
75,680,1.125
75,660,1.375
75,640,1.5
75,639,2.125
80,780,0.375
80,760,0.625
80,740,0.875
80,720,1.25
80,700,1.375
80,680,1.75
80,660,1.875
80,640,2.25
80,639,2.75
85,780,0.375
85,760,0.625
85,740,1
85,720,1.25
85,700,1.5
85,680,1.875
85,660,2.125
85,640,2.5
85,639,2.875
90,780,0.25
90,760,0.5
90,740,0.75
90,720,1
90,700,1.25
90,680,1.5
90,660,1.75
90,640,2
90,639,2.625
95,780,0.25
95,760,0.5
95,740,0.625
95,720,0.875
95,700,1.125
95,680,1.375
95,660,1.625
95,640,1.875
95,639,2.25
99,780,0.125
99,760,0.25
99,740,0.5
99,720,0.75
99,700,0.875
99,680,1.125
99,660,1.25
99,640,1.5
99,639,1.75